station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
8A0,1/1/16 12:55,33.8,33.8,100.0,350,7,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.97,K8A0 011255Z AUTO 35007KT 10SM CLR 01/01 A3029 RMK AO2
8A0,1/1/16 13:15,33.8,33.8,100.0,360,9,0.0,30.29,M,7.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011315Z AUTO 36009KT 7SM CLR 01/01 A3029 RMK AO2
8A0,1/1/16 13:35,33.8,33.8,100.0,360,9,0.0,30.29,M,10.0,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011335Z AUTO 36009KT 10SM BKN110 01/01 A3029 RMK AO2
8A0,1/1/16 13:55,33.8,33.8,100.0,360,9,0.0,30.28,M,10.0,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011355Z AUTO 36009KT 10SM BKN110 01/01 A3028 RMK AO2
8A0,1/1/16 14:15,35.6,33.8,93.08,350,7,0.0,30.28,M,10.0,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 011415Z AUTO 35007KT 10SM BKN110 02/01 A3028 RMK AO2
8A0,1/1/16 14:35,35.6,33.8,93.08,20,7,0.0,30.28,M,10.0,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 011435Z AUTO 02007KT 10SM BKN110 02/01 A3028 RMK AO2
8A0,1/1/16 14:55,35.6,33.8,93.08,360,8,0.0,30.3,M,10.0,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,28.55,K8A0 011455Z AUTO 36008KT 10SM BKN110 02/01 A3030 RMK AO2
8A0,1/1/16 15:15,35.6,35.6,100.0,340,7,0.0,30.3,M,10.0,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 011515Z AUTO 34007KT 10SM BKN110 02/02 A3030 RMK AO2
8A0,1/1/16 15:35,35.6,33.8,93.08,340,8,0.0,30.31,M,10.0,M,SCT,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,28.55,K8A0 011535Z AUTO 34008KT 10SM SCT120 02/01 A3031 RMK AO2
8A0,1/1/16 15:55,35.6,33.8,93.08,360,8,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.55,K8A0 011555Z AUTO 36008KT 10SM CLR 02/01 A3031 RMK AO2
8A0,1/1/16 16:15,35.6,35.6,100.0,320,9,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.99,K8A0 011615Z AUTO 32009KT 10SM CLR 02/02 A3031 RMK AO2
8A0,1/1/16 16:35,37.4,35.6,93.14,330,12,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.87,K8A0 011635Z AUTO 33012KT 10SM CLR 03/02 A3031 RMK AO2
8A0,1/1/16 16:55,37.4,33.8,86.69,340,10,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.74,K8A0 011655Z AUTO 34010KT 10SM CLR 03/01 A3031 RMK AO2
8A0,1/1/16 17:15,37.4,33.8,86.69,340,10,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.74,K8A0 011715Z AUTO 34010KT 10SM CLR 03/01 A3031 RMK AO2
8A0,1/1/16 17:35,37.4,33.8,86.69,350,9,0.0,30.29,M,10.0,M,SCT,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,30.23,K8A0 011735Z AUTO 35009KT 10SM SCT120 03/01 A3029 RMK AO2
8A0,1/1/16 17:55,35.6,33.8,93.08,340,10,0.0,30.29,M,10.0,14,SCT,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,27.48,K8A0 011755Z AUTO 34010G14KT 10SM SCT120 02/01 A3029 RMK AO2
8A0,1/1/16 18:15,37.4,33.8,86.69,340,10,0.0,30.29,M,10.0,14,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.74,K8A0 011815Z AUTO 34010G14KT 10SM CLR 03/01 A3029 RMK AO2
8A0,1/1/16 18:35,37.4,33.8,86.69,350,11,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.29,K8A0 011835Z AUTO 35011KT 10SM CLR 03/01 A3027 RMK AO2
8A0,1/1/16 18:55,37.4,33.8,86.69,330,7,0.0,30.27,M,10.0,M,SCT,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,31.36,K8A0 011855Z AUTO 33007KT 10SM SCT120 03/01 A3027 RMK AO2
8A0,1/1/16 19:15,37.4,33.8,86.69,320,8,0.0,30.27,M,10.0,M,SCT,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,30.76,K8A0 011915Z AUTO 32008KT 10SM SCT120 03/01 A3027 RMK AO2
8A0,1/1/16 19:35,37.4,33.8,86.69,340,6,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 011935Z AUTO 34006KT 10SM CLR 03/01 A3027 RMK AO2
8A0,1/1/16 19:55,37.4,33.8,86.69,320,7,0.0,30.28,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.36,K8A0 011955Z AUTO 32007KT 10SM CLR 03/01 A3028 RMK AO2
8A0,1/1/16 20:15,37.4,32.0,80.65,340,7,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.36,K8A0 012015Z AUTO 34007KT 10SM CLR 03/00 A3027 RMK AO2
8A0,1/1/16 20:35,37.4,32.0,80.65,330,7,0.0,30.28,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.36,K8A0 012035Z AUTO 33007KT 10SM CLR 03/00 A3028 RMK AO2
8A0,1/1/16 20:55,37.4,33.8,86.69,330,6,0.0,30.28,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 012055Z AUTO 33006KT 10SM CLR 03/01 A3028 RMK AO2
8A0,1/1/16 21:15,37.4,32.0,80.65,330,10,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.74,K8A0 012115Z AUTO 33010KT 10SM CLR 03/00 A3027 RMK AO2
8A0,1/1/16 21:35,37.4,32.0,80.65,350,10,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.74,K8A0 012135Z AUTO 35010KT 10SM CLR 03/00 A3027 RMK AO2
8A0,1/1/16 21:55,37.4,32.0,80.65,340,7,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.36,K8A0 012155Z AUTO 34007KT 10SM CLR 03/00 A3027 RMK AO2
8A0,1/1/16 22:15,37.4,32.0,80.65,320,6,0.0,30.28,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 012215Z AUTO 32006KT 10SM CLR 03/00 A3028 RMK AO2
8A0,1/1/16 22:35,37.4,32.0,80.65,340,6,0.0,30.28,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 012235Z AUTO 34006KT 10SM CLR 03/00 A3028 RMK AO2
8A0,1/1/16 22:55,37.4,32.0,80.65,320,5,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.81,K8A0 012255Z AUTO 32005KT 10SM CLR 03/00 A3029 RMK AO2
8A0,1/1/16 23:15,37.4,32.0,80.65,320,6,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 012315Z AUTO 32006KT 10SM CLR 03/00 A3029 RMK AO2
8A0,1/1/16 23:35,35.6,32.0,86.59,320,7,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 012335Z AUTO 32007KT 10SM CLR 02/00 A3029 RMK AO2
8A0,1/1/16 23:55,35.6,32.0,86.59,330,6,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.87,K8A0 012355Z AUTO 33006KT 10SM CLR 02/00 A3029 RMK AO2
8A0,1/2/16 0:15,35.6,32.0,86.59,320,5,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 020015Z AUTO 32005KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 0:35,35.6,32.0,86.59,340,7,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 020035Z AUTO 34007KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 0:55,35.6,32.0,86.59,340,5,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 020055Z AUTO 34005KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 1:15,35.6,32.0,86.59,340,5,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 020115Z AUTO 34005KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 1:35,35.6,32.0,86.59,330,4,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020135Z AUTO 33004KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 1:55,35.6,32.0,86.59,320,4,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020155Z AUTO 32004KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 2:15,35.6,33.8,93.08,310,4,0.0,30.34,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020215Z AUTO 31004KT 10SM CLR 02/01 A3034 RMK AO2
8A0,1/2/16 2:35,35.6,32.0,86.59,330,5,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 020235Z AUTO 33005KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 2:55,35.6,33.8,93.08,320,4,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020255Z AUTO 32004KT 10SM CLR 02/01 A3032 RMK AO2
8A0,1/2/16 3:15,35.6,32.0,86.59,330,3,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.8,K8A0 020315Z AUTO 33003KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 3:35,35.6,32.0,86.59,330,3,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.8,K8A0 020335Z AUTO 33003KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 3:55,35.6,33.8,93.08,0,0,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,35.6,K8A0 020355Z AUTO 00000KT 10SM CLR 02/01 A3032 RMK AO2
8A0,1/2/16 4:15,35.6,32.0,86.59,360,4,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020415Z AUTO 36004KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 4:35,35.6,32.0,86.59,0,0,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,35.6,K8A0 020435Z AUTO 00000KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 4:55,35.6,32.0,86.59,350,3,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.8,K8A0 020455Z AUTO 35003KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 5:15,35.6,32.0,86.59,320,3,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.8,K8A0 020515Z AUTO 32003KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 5:35,35.6,32.0,86.59,310,4,0.0,30.32,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020535Z AUTO 31004KT 10SM CLR 02/00 A3032 RMK AO2
8A0,1/2/16 5:55,35.6,32.0,86.59,310,4,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 020555Z AUTO 31004KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 6:15,35.6,32.0,86.59,300,5,0.0,30.31,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 020615Z AUTO 30005KT 10SM CLR 02/00 A3031 RMK AO2
8A0,1/2/16 6:35,33.8,32.0,93.03,310,5,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.53,K8A0 020635Z AUTO 31005KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 6:55,33.8,32.0,93.03,320,3,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.75,K8A0 020655Z AUTO 32003KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 7:15,33.8,32.0,93.03,320,4,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.52,K8A0 020715Z AUTO 32004KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 7:35,33.8,32.0,93.03,320,5,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.53,K8A0 020735Z AUTO 32005KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 7:55,33.8,32.0,93.03,330,6,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.7,K8A0 020755Z AUTO 33006KT 10SM CLR 01/00 A3030 RMK AO2
8A0,1/2/16 8:15,33.8,32.0,93.03,340,7,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.97,K8A0 020815Z AUTO 34007KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 8:35,33.8,32.0,93.03,340,5,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.53,K8A0 020835Z AUTO 34005KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 8:55,33.8,32.0,93.03,360,4,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.52,K8A0 020855Z AUTO 36004KT 10SM CLR 01/00 A3029 RMK AO2
8A0,1/2/16 9:15,33.8,32.0,93.03,340,4,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.52,K8A0 020915Z AUTO 34004KT 10SM CLR 01/00 A3030 RMK AO2
8A0,1/2/16 9:35,33.8,32.0,93.03,330,3,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.75,K8A0 020935Z AUTO 33003KT 10SM CLR 01/00 A3030 RMK AO2
8A0,1/2/16 9:55,32.0,32.0,100.0,360,5,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.4,K8A0 020955Z AUTO 36005KT 10SM CLR 00/00 A3029 RMK AO2
8A0,1/2/16 10:15,32.0,32.0,100.0,360,4,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.42,K8A0 021015Z AUTO 36004KT 10SM CLR 00/00 A3029 RMK AO2
8A0,1/2/16 10:35,32.0,32.0,100.0,360,4,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.42,K8A0 021035Z AUTO 36004KT 10SM CLR 00/00 A3029 RMK AO2
8A0,1/2/16 10:55,32.0,32.0,100.0,360,4,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.42,K8A0 021055Z AUTO 36004KT 10SM CLR 00/00 A3029 RMK AO2
8A0,1/2/16 11:15,32.0,32.0,100.0,0,0,0.0,30.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.0,K8A0 021115Z AUTO 00000KT 10SM CLR 00/00 A3029 RMK AO2
8A0,1/2/16 11:35,30.2,30.2,100.0,0,0,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.2,K8A0 021135Z AUTO 00000KT 10SM CLR M01/M01 A3030 RMK AO2
8A0,1/2/16 11:55,32.0,32.0,100.0,0,0,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.0,K8A0 021155Z AUTO 00000KT 10SM CLR 00/00 A3030 RMK AO2
8A0,1/2/16 12:15,32.0,32.0,100.0,360,7,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.78,K8A0 021215Z AUTO 36007KT 10SM CLR 00/00 A3030 RMK AO2
8A0,1/2/16 12:35,32.0,30.2,92.97,10,6,0.0,30.3,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.53,K8A0 021235Z AUTO 01006KT 10SM CLR 00/M01 A3030 RMK AO2
