Index,Japan,NZ,UK,US
1994.5,183.28900000000002,148.605,61.831,66.505
1994.75,188.273,127.87899999999999,115.736,78.19
1995.0,196.48,95.295,112.684,83.04700000000001
1995.25,174.30700000000002,130.07299999999998,64.209,67.44800000000001
1995.5,214.067,166.38299999999998,59.287,69.234
1995.75,197.85,146.632,111.719,85.16
1996.0,227.335,132.41,108.17299999999999,84.995
1996.25,174.325,166.735,64.632,71.005
1996.5,219.347,205.12,64.742,71.41199999999999
1996.75,192.137,167.56900000000002,129.994,89.48299999999999
1997.0,223.64,142.502,126.26100000000001,87.405
1997.25,167.269,160.52200000000002,65.146,73.061
1997.5,227.641,205.25,74.071,79.986
1997.75,195.35,177.36599999999999,145.139,89.141
1998.0,205.468,128.179,143.115,101.167
1998.25,168.52,184.94299999999998,82.74700000000001,85.384
1998.5,200.86,212.263,78.303,82.586
1998.75,176.235,183.99599999999998,163.356,104.76
1999.0,193.822,143.015,160.239,113.86
1999.25,154.86,179.577,81.152,92.494
1999.5,188.08,215.732,107.941,95.001
1999.75,170.68900000000002,190.46099999999998,179.102,115.704
2000.0,192.023,154.537,161.953,118.84
2000.25,154.701,212.40099999999998,105.39399999999999,107.31299999999999
2000.5,182.13,229.048,107.23100000000001,131.833
2000.75,192.135,221.071,205.87400000000002,130.1
2001.0,193.645,162.48,184.90099999999998,126.70200000000001
2001.25,156.303,215.84,107.454,113.471
2001.5,186.861,233.074,121.889,105.23899999999999
2001.75,136.748,203.493,202.988,101.05799999999999
2002.0,177.263,159.879,206.655,121.12700000000001
2002.25,158.357,191.215,95.564,97.016
2002.5,183.821,226.00799999999998,115.95,102.26100000000001
2002.75,196.00599999999997,213.0,224.49599999999998,114.103
2003.0,176.132,150.7,196.27599999999998,112.90799999999999
2003.25,102.633,203.4,107.56299999999999,94.212
2003.5,156.39600000000002,241.8,125.171,102.961
2003.75,192.59099999999998,243.2,243.894,112.039
2004.0,185.175,188.873,205.423,114.01700000000001
2004.25,153.363,252.262,111.92399999999999,101.065
2004.5,181.65900000000002,312.95599999999996,125.132,105.884
2004.75,190.143,278.709,233.761,112.335
2005.0,193.547,219.52700000000002,235.24200000000002,122.725
2005.25,135.461,270.782,105.37,104.542
2005.5,176.24200000000002,325.633,131.141,107.725
2005.75,180.085,282.908,237.053,111.286
2006.0,189.187,212.32299999999998,224.933,123.60799999999999
2006.25,128.92,269.964,116.211,109.865
2006.5,163.649,307.149,123.80799999999999,107.787
2006.75,169.31400000000002,286.361,269.29200000000003,114.824
2007.0,165.82299999999998,219.885,231.68599999999998,124.677
2007.25,111.484,301.654,108.54299999999999,108.089
2007.5,149.065,320.737,122.734,107.738
2007.75,146.673,295.72700000000003,226.03099999999998,119.189
2008.0,136.54399999999998,222.77,230.109,128.066
2008.25,88.87899999999999,282.07599999999996,107.43,99.471
2008.5,121.95100000000001,304.97900000000004,115.758,111.243
2008.75,109.85799999999999,303.481,218.864,115.63600000000001
2009.0,106.12299999999999,221.287,210.109,119.15799999999999
2009.25,65.748,275.76099999999997,113.973,105.507
2009.5,88.37100000000001,311.431,116.51700000000001,118.979
2009.75,95.214,301.983,223.178,136.094
2010.0,109.072,228.162,213.56799999999998,127.535
2010.25,71.253,281.791,99.49700000000001,105.97399999999999
2010.5,117.876,330.81199999999995,108.208,111.615
2010.75,99.98700000000001,320.897,225.395,127.00200000000001
2011.0,92.889,239.10299999999998,188.56,125.264
2011.25,53.397,292.072,110.212,101.814
2011.5,96.46700000000001,311.994,107.089,101.925
2011.75,89.9,329.47,202.24,127.15
2012.0,98.18,247.91,194.64,129.52
2012.25,59.76,301.88,92.97,105.7
2012.5,101.9,319.84,101.69,106.54
